Timestamp | Device_ID | Temperature (Celsius) | Status
2026-09-22 04:28:16 | WARD_B_TEMP_01 | 39.4 | CRITICAL
2026-09-22 04:28:16 | WARD_B_TEMP_02 | 40.3 | CRITICAL
2026-09-22 04:28:16 | WARD_B_TEMP_03 | 39.5 | CRITICAL
2026-09-22 04:28:16 | WARD_B_TEMP_04 | 38.8 | CRITICAL
2026-09-22 04:28:16 | WARD_B_TEMP_05 | 37.2 | NORMAL
2026-09-22 04:28:17 | WARD_B_TEMP_01 | 37.3 | NORMAL
2026-09-22 04:28:17 | WARD_B_TEMP_02 | 39.7 | CRITICAL
2026-09-22 04:28:17 | WARD_B_TEMP_03 | 39.5 | CRITICAL
2026-09-22 04:28:17 | WARD_B_TEMP_04 | 36.2 | NORMAL
2026-09-22 04:28:17 | WARD_B_TEMP_05 | 36.0 | NORMAL
2026-09-22 04:28:18 | WARD_B_TEMP_01 | 39.9 | CRITICAL
2026-09-22 04:28:18 | WARD_B_TEMP_02 | 36.6 | NORMAL
2026-09-22 04:28:18 | WARD_B_TEMP_03 | 38.3 | CRITICAL
2026-09-22 04:28:18 | WARD_B_TEMP_04 | 39.2 | CRITICAL
2026-09-22 04:28:18 | WARD_B_TEMP_05 | 36.6 | NORMAL
2026-09-22 04:28:19 | WARD_B_TEMP_01 | 39.8 | CRITICAL
2026-09-22 04:28:19 | WARD_B_TEMP_02 | 38.5 | CRITICAL
2026-09-22 04:28:19 | WARD_B_TEMP_03 | 39.0 | CRITICAL
2026-09-22 04:28:19 | WARD_B_TEMP_04 | 38.1 | CRITICAL
2026-09-22 04:28:19 | WARD_B_TEMP_05 | 37.9 | WARNING
2026-09-22 04:28:20 | WARD_B_TEMP_01 | 39.6 | CRITICAL
2026-09-22 04:28:20 | WARD_B_TEMP_02 | 40.2 | CRITICAL
2026-09-22 04:28:20 | WARD_B_TEMP_03 | 39.2 | CRITICAL
2026-09-22 04:28:20 | WARD_B_TEMP_04 | 37.7 | WARNING
2026-09-22 04:28:20 | WARD_B_TEMP_05 | 37.6 | WARNING
2026-09-22 04:28:21 | WARD_B_TEMP_01 | 39.2 | CRITICAL
2026-09-22 04:28:21 | WARD_B_TEMP_02 | 36.4 | NORMAL
2026-09-22 04:28:21 | WARD_B_TEMP_03 | 35.7 | NORMAL
2026-09-22 04:28:21 | WARD_B_TEMP_04 | 37.3 | NORMAL
2026-09-22 04:28:21 | WARD_B_TEMP_05 | 38.3 | CRITICAL
2026-09-22 04:28:22 | WARD_B_TEMP_01 | 39.5 | CRITICAL
